timestamp,author,element_label,value
2019-01-01,avenir,DsFreeSus,35610038
2020-01-01,avenir,DsFreeSus,36508364
2021-01-01,avenir,DsFreeSus,37404452
2022-01-01,avenir,DsFreeSus,38299155
2023-01-01,avenir,DsFreeSus,39192782
2024-01-01,avenir,DsFreeSus,40085490
2025-01-01,avenir,DsFreeSus,40977161
2026-01-01,avenir,DsFreeSus,41866833
2027-01-01,avenir,DsFreeSus,42753539
2028-01-01,avenir,DsFreeSus,43635972
2029-01-01,avenir,DsFreeSus,44512982
2030-01-01,avenir,DsFreeSus,45383131
2031-01-01,avenir,DsFreeSus,46244831
2032-01-01,avenir,DsFreeSus,47097922
2033-01-01,avenir,DsFreeSus,47941928
2034-01-01,avenir,DsFreeSus,48776607
2035-01-01,avenir,DsFreeSus,49601371
2036-01-01,avenir,DsFreeSus,50415523
2037-01-01,avenir,DsFreeSus,51218415
2038-01-01,avenir,DsFreeSus,52009306
2039-01-01,avenir,DsFreeSus,52787571
2040-01-01,avenir,DsFreeSus,53552366
2041-01-01,avenir,DsFreeSus,54302157
2042-01-01,avenir,DsFreeSus,55036697
2043-01-01,avenir,DsFreeSus,55754766
2044-01-01,avenir,DsFreeSus,56455407
2045-01-01,avenir,DsFreeSus,57137870
2046-01-01,avenir,DsFreeSus,57801772
2047-01-01,avenir,DsFreeSus,58446934
2048-01-01,avenir,DsFreeSus,59073056
2049-01-01,avenir,DsFreeSus,59680802
2050-01-01,avenir,DsFreeSus,60280619
2051-01-01,avenir,DsFreeSus,60869982
2052-01-01,avenir,DsFreeSus,61449699
2053-01-01,avenir,DsFreeSus,62018560
2054-01-01,avenir,DsFreeSus,62575815
2055-01-01,avenir,DsFreeSus,63120833
2056-01-01,avenir,DsFreeSus,63652799
2057-01-01,avenir,DsFreeSus,64171276
2058-01-01,avenir,DsFreeSus,64675428
2059-01-01,avenir,DsFreeSus,65165364
2060-01-01,avenir,DsFreeSus,65639966
2061-01-01,avenir,DsFreeSus,66098670
2062-01-01,avenir,DsFreeSus,66541436
2063-01-01,avenir,DsFreeSus,66967384
2064-01-01,avenir,DsFreeSus,67376228
2065-01-01,avenir,DsFreeSus,67768019
2066-01-01,avenir,DsFreeSus,68142444
2067-01-01,avenir,DsFreeSus,68499316
2068-01-01,avenir,DsFreeSus,68838069
2069-01-01,avenir,DsFreeSus,69158691
2070-01-01,avenir,DsFreeSus,69460437
2071-01-01,avenir,DsFreeSus,69743674
2072-01-01,avenir,DsFreeSus,70008901
2073-01-01,avenir,DsFreeSus,70256039
2074-01-01,avenir,DsFreeSus,70485856
2075-01-01,avenir,DsFreeSus,70699306
2076-01-01,avenir,DsFreeSus,70897352
2077-01-01,avenir,DsFreeSus,71080858
2078-01-01,avenir,DsFreeSus,71249964
2079-01-01,avenir,DsFreeSus,71406555
2080-01-01,avenir,DsFreeSus,71550607
2081-01-01,avenir,DsFreeSus,71682896
2082-01-01,avenir,DsFreeSus,71804294
2083-01-01,avenir,DsFreeSus,71914521
2084-01-01,avenir,DsFreeSus,72014563
2085-01-01,avenir,DsFreeSus,72105643
2086-01-01,avenir,DsFreeSus,72188797
2087-01-01,avenir,DsFreeSus,72264769
2088-01-01,avenir,DsFreeSus,72332639
2089-01-01,avenir,DsFreeSus,72395590
2090-01-01,avenir,DsFreeSus,72452732
2091-01-01,avenir,DsFreeSus,72503936
2092-01-01,avenir,DsFreeSus,72550343
2093-01-01,avenir,DsFreeSus,72591247
2094-01-01,avenir,DsFreeSus,72626691
2095-01-01,avenir,DsFreeSus,72657511
2096-01-01,avenir,DsFreeSus,72683420
2097-01-01,avenir,DsFreeSus,72705318
2098-01-01,avenir,DsFreeSus,72723677
2099-01-01,avenir,DsFreeSus,72738551
2100-01-01,avenir,DsFreeSus,72748688
2101-01-01,avenir,DsFreeSus,72754656
2102-01-01,avenir,DsFreeSus,72756944
2103-01-01,avenir,DsFreeSus,72755999
2104-01-01,avenir,DsFreeSus,72752235
2105-01-01,avenir,DsFreeSus,72746044
2106-01-01,avenir,DsFreeSus,72737811
2107-01-01,avenir,DsFreeSus,72727907
2108-01-01,avenir,DsFreeSus,72716692
2109-01-01,avenir,DsFreeSus,72704508
2110-01-01,avenir,DsFreeSus,72691794
2111-01-01,avenir,DsFreeSus,72678853
2112-01-01,avenir,DsFreeSus,72665939
2113-01-01,avenir,DsFreeSus,72653259
2114-01-01,avenir,DsFreeSus,72640967
2115-01-01,avenir,DsFreeSus,72629175
2116-01-01,avenir,DsFreeSus,72617963
2117-01-01,avenir,DsFreeSus,72607378
2118-01-01,avenir,DsFreeSus,72597443
2119-01-01,avenir,DsFreeSus,72588154
2019-01-01,avenir,Deceased,229237
2020-01-01,avenir,Deceased,230101
2021-01-01,avenir,Deceased,231084
2022-01-01,avenir,Deceased,232434
2023-01-01,avenir,Deceased,234277
2024-01-01,avenir,Deceased,236311
2025-01-01,avenir,Deceased,237963
2026-01-01,avenir,Deceased,239800
2027-01-01,avenir,Deceased,241809
2028-01-01,avenir,Deceased,244028
2029-01-01,avenir,Deceased,246161
2030-01-01,avenir,Deceased,248705
2031-01-01,avenir,Deceased,251660
2032-01-01,avenir,Deceased,254293
2033-01-01,avenir,Deceased,257209
2034-01-01,avenir,Deceased,260375
2035-01-01,avenir,Deceased,263817
2036-01-01,avenir,Deceased,267527
2037-01-01,avenir,Deceased,271496
2038-01-01,avenir,Deceased,275700
2039-01-01,avenir,Deceased,280118
2040-01-01,avenir,Deceased,284927
2041-01-01,avenir,Deceased,291152
2042-01-01,avenir,Deceased,296588
2043-01-01,avenir,Deceased,302457
2044-01-01,avenir,Deceased,308610
2045-01-01,avenir,Deceased,315054
2046-01-01,avenir,Deceased,321761
2047-01-01,avenir,Deceased,328748
2048-01-01,avenir,Deceased,335981
2049-01-01,avenir,Deceased,343328
2050-01-01,avenir,Deceased,355043
2051-01-01,avenir,Deceased,368626
2052-01-01,avenir,Deceased,381081
2053-01-01,avenir,Deceased,394237
2054-01-01,avenir,Deceased,407743
2055-01-01,avenir,Deceased,421650
2056-01-01,avenir,Deceased,435979
2057-01-01,avenir,Deceased,450670
2058-01-01,avenir,Deceased,465768
2059-01-01,avenir,Deceased,480955
2060-01-01,avenir,Deceased,496795
2061-01-01,avenir,Deceased,512897
2062-01-01,avenir,Deceased,529059
2063-01-01,avenir,Deceased,546061
2064-01-01,avenir,Deceased,563079
2065-01-01,avenir,Deceased,579958
2066-01-01,avenir,Deceased,596949
2067-01-01,avenir,Deceased,614258
2068-01-01,avenir,Deceased,632391
2069-01-01,avenir,Deceased,650327
2070-01-01,avenir,Deceased,669240
2071-01-01,avenir,Deceased,688233
2072-01-01,avenir,Deceased,707233
2073-01-01,avenir,Deceased,727322
2074-01-01,avenir,Deceased,747070
2075-01-01,avenir,Deceased,766256
2076-01-01,avenir,Deceased,784816
2077-01-01,avenir,Deceased,802960
2078-01-01,avenir,Deceased,821959
2079-01-01,avenir,Deceased,838394
2080-01-01,avenir,Deceased,855445
2081-01-01,avenir,Deceased,871680
2082-01-01,avenir,Deceased,886808
2083-01-01,avenir,Deceased,902938
2084-01-01,avenir,Deceased,918138
2085-01-01,avenir,Deceased,931832
2086-01-01,avenir,Deceased,944262
2087-01-01,avenir,Deceased,955632
2088-01-01,avenir,Deceased,968459
2089-01-01,avenir,Deceased,976380
2090-01-01,avenir,Deceased,985764
